date,temperature
2015-08-17,28.1
2015-08-18,25.8
2015-08-19,24.4
2015-08-20,25.8
2015-08-21,26.4
2015-08-22,26.0
2015-08-23,22.5
2015-08-24,23.7
2015-08-25,25.1
2015-08-26,25.8
2015-08-27,25.7
2015-08-28,25.9
2015-08-29,25.5
2015-08-30,21.4
2015-08-31,20.8
2015-09-01,20.8
2015-09-02,25.0
2015-09-03,25.4
2015-09-04,21.1
2015-09-05,18.4
2015-09-06,23.1
2015-09-07,23.0
2015-09-08,22.0
2015-09-09,21.6
2015-09-10,17.0
2015-09-11,18.0
2015-09-12,20.6
2015-09-13,21.4
2015-09-14,20.0
2015-09-15,19.5
2015-09-16,20.4
2015-09-17,21.4
2015-09-18,23.5
2015-09-19,21.7
2015-09-20,21.3
2015-09-21,21.6
2015-09-22,20.8
2015-09-23,20.2
2015-09-24,20.1
2015-09-25,19.6
2015-09-26,18.4
2015-09-27,21.0
2015-09-28,17.3
2015-09-29,14.9
2015-09-30,15.9
2015-10-01,17.4
2015-10-02,17.9
2015-10-03,17.3
2015-10-04,17.0
2015-10-05,17.5
2015-10-06,18.7
2015-10-07,20.1
2015-10-08,16.7
2015-10-09,13.5
2015-10-10,12.8
2015-10-11,17.7
2015-10-12,16.6
2015-10-13,16.7
2015-10-14,15.4
2015-10-15,16.7
2015-10-16,15.7
2015-10-17,15.4
2015-10-18,15.5
2015-10-19,13.2
2015-10-20,11.7
2015-10-21,10.0
2015-10-22,10.0
2015-10-23,13.1
2015-10-24,13.3
2015-10-25,10.6
2015-10-26,10.7
2015-10-27,10.1
2015-10-28,9.6
2015-10-29,8.1
2015-10-30,6.8
2015-10-31,7.4
2015-11-01,8.7
2015-11-02,9.7
2015-11-03,9.0
2015-11-04,9.9
2015-11-05,8.2
2015-11-06,2.0
2015-11-07,2.7
2015-11-08,4.2
2015-11-09,4.6
2015-11-10,5.7
2015-11-11,6.1
2015-11-12,6.8
2015-11-13,7.2
2015-11-14,8.3
2015-11-15,8.7
2015-11-16,7.1
2015-11-17,5.4
2015-11-18,4.3
2015-11-19,3.3
2015-11-20,0.9
2015-11-21,0.6
2015-11-22,-2.1
2015-11-23,-3.1
2015-11-24,-6.0
2015-11-25,-6.4
2015-11-26,-7.0
2015-11-27,-5.1
2015-11-28,-1.8
2015-11-29,-0.2
2015-11-30,-2.0
2015-12-01,-0.3
2015-12-02,2.0
2015-12-03,0.1
2015-12-04,2.1
2015-12-05,2.2
2015-12-06,-0.2
2015-12-07,1.0
2015-12-08,0.6
2015-12-09,2.7
2015-12-10,3.3
2015-12-11,1.4
2015-12-12,-0.2
2015-12-13,-0.4
2015-12-14,2.2
2015-12-15,1.3
2015-12-16,-1.0
2015-12-17,-1.9
2015-12-18,-0.7
2015-12-19,-1.8
2015-12-20,-1.9
2015-12-21,-1.6
2015-12-22,-2.7
2015-12-23,-0.3
2015-12-24,-0.1
2015-12-25,-3.6
2015-12-26,-2.9
2015-12-27,-5.4
2015-12-28,-4.1
2015-12-29,-2.6
2015-12-30,0.0
2015-12-31,-2.6
2016-01-01,-2.2
2016-01-02,-1.4
2016-01-03,-1.9
2016-01-04,-1.4
2016-01-05,-3.2
2016-01-06,-2.9
2016-01-07,-3.2
2016-01-08,-3.8
2016-01-09,-3.9
2016-01-10,-3.3
2016-01-11,-5.7
2016-01-12,-6.4
2016-01-13,-3.3
2016-01-14,-2.5
2016-01-15,-2.6
2016-01-16,-2.4
2016-01-17,-6.3
2016-01-18,-9.0
2016-01-19,-8.8
2016-01-20,-7.4
2016-01-21,-5.7
2016-01-22,-9.7
2016-01-23,-15.0
2016-01-24,-9.2
2016-01-25,-3.6
2016-01-26,-1.4
2016-01-27,-5.0
2016-01-28,-3.1
2016-01-29,-5.3
2016-01-30,-6.3
2016-01-31,-5.3
2016-02-01,-2.7
2016-02-02,-1.7
2016-02-03,-1.5
2016-02-04,-0.1
2016-02-05,0.2
2016-02-06,-0.8
2016-02-07,0.2
2016-02-08,3.2
2016-02-09,2.9
2016-02-10,1.2
2016-02-11,3.5
2016-02-12,4.2
2016-02-13,0.5
2016-02-14,-3.9
2016-02-15,-1.0
2016-02-16,3.6
2016-02-17,3.1
2016-02-18,5.4
2016-02-19,2.4
2016-02-20,-0.2
2016-02-21,-0.8
2016-02-22,1.8
2016-02-23,-0.7
2016-02-24,-0.4
2016-02-25,0.9
2016-02-26,3.1
2016-02-27,3.4
2016-02-28,0.6
2016-02-29,-0.9
2016-03-01,2.3
2016-03-02,7.0
2016-03-03,7.7
2016-03-04,5.5
2016-03-05,8.5
2016-03-06,4.4
2016-03-07,5.4
2016-03-08,1.7
2016-03-09,1.2
2016-03-10,2.5
2016-03-11,2.4
2016-03-12,2.8
2016-03-13,6.6
2016-03-14,7.0
2016-03-15,8.2
2016-03-16,7.9
2016-03-17,10.0
2016-03-18,13.5
2016-03-19,11.2
2016-03-20,11.0
2016-03-21,11.5
2016-03-22,12.6
2016-03-23,9.6
2016-03-24,8.4
2016-03-25,9.3
