date,humidity
2015-11-24,65.9
2015-11-25,66.2
2015-11-26,52.3
2015-11-27,72.7
2015-11-28,76.9
2015-11-29,81.1
2015-11-30,92.0
2015-12-01,95.9
2015-12-02,37.5
2015-12-03,33.8
2015-12-04,34.4
2015-12-05,47.5
2015-12-06,73.7
2015-12-07,78.4
2015-12-08,90.8
2015-12-09,90.4
2015-12-10,62.4
2015-12-11,49.1
2015-12-12,71.6
2015-12-13,76.3
2015-12-14,71.4
2015-12-15,31.5
2015-12-16,31.0
2015-12-17,41.1
2015-12-18,52.6
2015-12-19,75.2
2015-12-20,85.7
2015-12-21,78.4
2015-12-22,89.5
2015-12-23,73.3
2015-12-24,65.5
2015-12-25,96.8
2015-12-26,86.0
2015-12-27,54.5
2015-12-28,60.9
2015-12-29,75.9
2015-12-30,56.6
2015-12-31,58.8
2016-01-01,68.9
2016-01-02,72.8
2016-01-03,81.1
2016-01-04,43.4
2016-01-05,30.8
2016-01-06,39.0
2016-01-07,34.2
2016-01-08,37.9
2016-01-09,47.6
2016-01-10,41.8
2016-01-11,33.2
2016-01-12,32.8
2016-01-13,24.9
2016-01-14,37.0
2016-01-15,44.0
2016-01-16,61.4
2016-01-17,53.0
2016-01-18,30.7
2016-01-19,40.4
2016-01-20,57.1
2016-01-21,81.6
2016-01-22,30.3
2016-01-23,23.8
2016-01-24,26.7
2016-01-25,24.7
2016-01-26,23.3
2016-01-27,41.8
2016-01-28,39.7
2016-01-29,47.0
2016-01-30,40.9
2016-01-31,29.3
2016-02-01,32.8
2016-02-02,29.9
2016-02-03,32.3
2016-02-04,26.3
2016-02-05,25.7
2016-02-06,32.9
2016-02-07,33.9
2016-02-08,32.5
2016-02-09,35.3
2016-02-10,43.9
2016-02-11,62.7
2016-02-12,76.3
2016-02-13,52.3
2016-02-14,29.5
2016-02-15,31.0
2016-02-16,28.3
2016-02-17,42.5
2016-02-18,22.5
2016-02-19,29.3
2016-02-20,25.0
2016-02-21,46.4
2016-02-22,45.2
2016-02-23,25.8
2016-02-24,31.6
2016-02-25,29.6
2016-02-26,26.7
2016-02-27,38.7
2016-02-28,44.2
2016-02-29,30.0
2016-03-01,44.3
2016-03-02,44.9
2016-03-03,59.1
2016-03-04,71.7
2016-03-05,21.2
2016-03-06,43.1
2016-03-07,29.3
2016-03-08,17.0
2016-03-09,19.3
2016-03-10,18.9
2016-03-11,26.5
2016-03-12,45.4
2016-03-13,26.6
2016-03-14,39.9
2016-03-15,39.6
2016-03-16,62.8
2016-03-17,60.5
2016-03-18,42.5
2016-03-19,36.9
